grp,y,cens,pred,c1,c10,day,cbt,pm
G202605251012,0.0,False,-0.07000833459055587,1.1774484204758013,3.221801456665914,2026-05-25,0.0,-0.14887829591947221
G202605251026,0.0,False,0.5039748476507377,1.1774484204758013,3.221801456665914,2026-05-25,0.0,2.1913530211836063
G202605251035,0.0,False,0.2309622101066052,1.4152756668789745,7.216330301596466,2026-05-25,0.0,0.702010402460477
G202605251045,0.0,False,0.3650192636624777,1.1774484204758013,3.221801456665914,2026-05-25,0.0,1.3174974431199087
G202605251055,0.0,False,0.29895805197861275,1.1774484204758013,3.221801456665914,2026-05-25,0.0,0.9904810713471639
G202605251107,0.0,False,0.4178639636120749,1.1774484204758013,3.221801456665914,2026-05-25,0.0,1.6173630291545553
G202605251116,0.7781512503836436,False,1.19296164197762,1.1774484204758013,3.221801456665914,2026-05-25,5.0,14.594147651614113
G202605251130,0.0,False,0.45253422048457903,1.4152756668789745,7.216330301596466,2026-05-25,0.0,1.8348770004602524
G202605251142,0.0,False,0.5143025715362158,1.1774484204758013,3.221801456665914,2026-05-25,0.0,2.2681544411920282
G202605260943,0.6020599913279624,False,0.3287955630753486,1.3004426118526515,4.600838867928663,2026-05-26,3.0,1.1320410539234986
G202605260951,0.0,False,0.20359804570695342,1.3134308691924508,14.357704758751785,2026-05-26,0.0,0.5980782682229042
G202605261000,0.0,False,0.10471172277280526,1.3004426118526515,4.600838867928663,2026-05-26,0.0,0.2726580320127139
G202605261007,0.3010299956639812,False,0.22364077205909466,1.3004426118526515,4.600838867928663,2026-05-26,1.0,0.6735580149911942
G202605261017,0.0,False,-0.06947124353998177,1.3134308691924508,14.357704758751785,2026-05-26,0.0,-0.14782506441048038
G202605261044,1.5314789170422551,False,0.9790534246621889,1.3004426118526515,4.600838867928663,2026-05-26,33.0,8.529133792919732
G202605261052,0.0,False,0.9810571001101271,1.3004426118526515,4.600838867928663,2026-05-26,0.0,8.573199293988239
G202605270836,0.0,False,-0.10965281233704555,1.4431844756333638,9.19673232317946,2026-05-27,0.0,-0.22313208069780466
G202605270845,0.0,False,0.26482819648254696,1.30475604378691,3.7084432658058093,2026-05-27,0.0,0.8400439504048358
G202605270853,0.0,False,-0.05108742742708822,1.4431844756333638,9.19673232317946,2026-05-27,0.0,-0.11097786839382562
G202605270903,0.0,False,0.2214818383856385,1.30475604378691,3.7084432658058093,2026-05-27,0.0,0.6652591874169773
G202605270920,0.0,False,1.35285949939888,1.30475604378691,3.7084432658058093,2026-05-27,0.0,21.535100508321566
G202605270930,0.0,False,-0.008736292318655886,1.30475604378691,3.7084432658058093,2026-05-27,0.0,-0.019915078481378856
G202605270939,0.0,False,0.17623767102263443,1.30475604378691,3.7084432658058093,2026-05-27,0.0,0.5005057742688546
G202605270954,0.0,False,0.13245424812250306,1.30475604378691,3.7084432658058093,2026-05-27,0.0,0.35660760742819186
G202605280814,0.0,False,0.28365371475719464,1.424470126458854,3.2985608581147856,2026-05-28,0.0,0.9215589604979129
G202605280903,0.0,False,-0.31991652846137786,1.5595646894538993,8.235753175291656,2026-05-28,0.0,-0.5212779059791117
G202605280911,0.7781512503836436,False,0.0797622530422297,1.424470126458854,3.2985608581147856,2026-05-28,5.0,0.20160645598694948
G202605280952,0.0,False,0.6799368934772143,1.424470126458854,3.2985608581147856,2026-05-28,0.0,3.7856054852758936
G202605290843,2.0043213737826426,True,0.7004551070077931,0.9778679557402132,1.9913803854386543,2026-05-29,100.00000000000001,4.017127143456424
G202605290854,2.0043213737826426,True,2.0043213737826426,1.3459756080152583,3.73766960635062,2026-05-29,100.00000000000001,100.00000000000001
G202605290901,2.0043213737826426,True,1.7755528177260549,0.9778679557402132,1.9913803854386543,2026-05-29,100.00000000000001,58.64208505222124
G202605290928,2.0043213737826426,True,1.744216169867585,0.9778679557402132,1.9913803854386543,2026-05-29,100.00000000000001,54.490184635428214
G202605290936,2.0043213737826426,True,1.523785339096461,0.9778679557402132,1.9913803854386543,2026-05-29,100.00000000000001,32.402989659036024
G202605290948,2.0043213737826426,True,1.9764531218897696,0.9778679557402132,1.9913803854386543,2026-05-29,100.00000000000001,93.72249347328417
G202605301205,2.0043213737826426,True,2.0043213737826426,1.1778384961415322,3.018759012167811,2026-05-30,100.00000000000001,100.00000000000001
G202605301221,2.0043213737826426,True,0.8320687354368398,1.1778384961415322,3.018759012167811,2026-05-30,100.00000000000001,5.793111381346583
G202605301228,2.0043213737826426,True,0.9214298407390298,1.1778384961415322,3.018759012167811,2026-05-30,100.00000000000001,7.345067247717168
G202605301304,2.0043213737826426,True,2.0043213737826426,1.1820776385190763,3.2547920680555578,2026-05-30,100.00000000000001,100.00000000000001
G202605301326,2.0043213737826426,True,2.0043213737826426,1.1778384961415322,3.018759012167811,2026-05-30,100.00000000000001,100.00000000000001
G202605301333,2.0043213737826426,True,2.0043213737826426,1.1778384961415322,3.018759012167811,2026-05-30,100.00000000000001,100.00000000000001
G202606020748,0.0,False,-0.045643404405294685,1.5031733008380188,7.590494730831178,2026-06-02,0.0,-0.09976354517120967
G202606020800,0.0,False,0.357468087121542,1.5031733008380188,7.590494730831178,2026-06-02,0.0,1.2775508764454786
G202606020818,0.0,False,-0.2988159117585608,1.5031733008380188,7.590494730831178,2026-06-02,0.0,-0.4974444329480704
G202606020843,0.0,False,0.37228613386570025,1.5031733008380188,7.590494730831178,2026-06-02,0.0,1.3566014136551119
G202606020904,0.0,False,-0.14560937257284468,1.5031733008380188,7.590494730831178,2026-06-02,0.0,-0.28486072903264137
G202606020916,0.0,False,-0.21874490689685294,1.5031733008380188,7.590494730831178,2026-06-02,0.0,-0.3956965229532108
G202606021016,0.0,False,0.532405615951486,1.5031733008380188,7.590494730831178,2026-06-02,0.0,2.407262676324859
G202606021028,0.0,False,0.3135555489268398,1.5031733008380188,7.590494730831178,2026-06-02,0.0,1.0585221713103325
G202606021035,2.0043213737826426,True,2.0043213737826426,1.5031733008380188,7.590494730831178,2026-06-02,100.00000000000001,100.00000000000001
G202606030843,0.0,False,0.4772540895507016,5.286793322676643,10.818421377576989,2026-06-03,0.0,2.000917730848374
G202606030911,0.0,False,0.3780367529235256,4.945597014058224,14.703338614327292,2026-06-03,0.0,1.3880133641336787
G202606030931,0.0,False,-0.34383724605721777,5.286793322676643,10.818421377576989,2026-06-03,0.0,-0.5469326627465761
G202606030958,0.0,False,0.43172226811922687,4.945597014058224,14.703338614327292,2026-06-03,0.0,1.7022297320410282
G202606040811,0.0,False,1.0808687399914496,3.000311027818971,11.878996151693913,2026-06-04,0.0,11.046717885486979
G202606040827,0.0,False,0.23077098289040265,3.000311027818971,11.878996151693913,2026-06-04,0.0,0.7012611434204665
G202606040833,0.0,False,0.7446991486413809,3.000311027818971,11.878996151693913,2026-06-04,0.0,4.555192958139401
G202606040845,0.0,False,-0.1658347497356493,3.000311027818971,11.878996151693913,2026-06-04,0.0,-0.3174016246762884
G202606040902,0.0,False,-0.2885390287850872,3.000311027818971,11.878996151693913,2026-06-04,0.0,-0.485410439735095
G202606040954,2.0043213737826426,True,2.0043213737826426,2.2814719545910287,10.1557192933983,2026-06-04,100.00000000000001,100.00000000000001
G202606090654,0.0,False,0.9808421882428409,6.449417370604849,8.952233601102753,2026-06-09,0.0,8.568463140865981
G202606090720,0.4184241683677687,False,0.49532692552730073,6.449417370604849,8.952233601102755,2026-06-09,1.6207413942088964,2.1284334838586383
G202606090748,0.9107979199409896,False,0.24284462369667323,6.449417370604849,8.952233601102755,2026-06-09,7.143252849784721,0.7492207629192114
G202606090828,0.0,False,0.043866857425757765,6.449417370604849,8.952233601102755,2026-06-09,0.0,0.10628457599140595
G202606090845,0.1505149978319906,False,-0.06311486033960015,6.449417370604849,8.952233601102753,2026-06-09,0.41421356237309515,-0.1352608139766056
G202606100726,0.0,False,0.050396401291421755,6.042213176402259,10.168041186076787,2026-06-10,0.0,0.12304304159421875
G202606100753,1.4331436695420976,False,0.25860731422826794,6.042213176402259,10.168041186076787,2026-06-10,26.110883423451927,0.8138748292275164
G202606100932,0.1505149978319906,False,0.0965075255972624,6.042213176402259,10.168041186076787,2026-06-10,0.41421356237309515,0.2488420847482562
G202606101045,0.0,False,0.16037091980797985,6.042213176402259,10.168041186076787,2026-06-10,0.0,0.44667481121372976
G202606101110,0.0,False,0.49877388276554746,6.042213176402259,10.168041186076787,2026-06-10,0.0,2.1533623846069565
G202606101122,0.0,False,0.13162945974495652,6.042213176402259,10.168041186076787,2026-06-10,0.0,0.3540336572262257
G202606110822,0.0,False,0.04081933672079435,3.569871644174066,12.012468847803676,2026-06-11,0.0,0.09854875624322634
G202606110829,0.0,False,0.4586321523323023,3.569871644174066,12.012468847803676,2026-06-11,0.0,1.8749622885239408
G202606110850,0.4184241683677687,False,0.18386666683188305,3.569871644174066,12.012468847803676,2026-06-11,1.6207413942088964,0.5270971506915239
G202606110914,0.0,False,0.22277094241921702,2.6395936746320112,11.010548711660144,2026-06-11,0.0,0.6702094724487995
G202606110924,0.0,False,-0.015535073457771185,3.569871644174066,12.012468847803676,2026-06-11,0.0,-0.035138613180911715
