bag_id,barcode,soak_id,n_readings,mon2,tof,Tch,temp_diag,T_channel,sig,sig_T,reading_offset_min,status,site,water_type,cbt,censored,t_utc,b_T,day,baseline,baseline_day,baseline_age_days,sig_TD,sample_group
B202605251142,50045,S009,1,513.0,30.0,24.460938,25.472794,sipm_temperature,5.8377304471659395,5.933640614165939,2.7438151,paired,Kamonyi. EP Rwishwima. Near the toilets. Rain water tank,Source (untreated),0.0,False,2026-05-25 11:42:00+00:00,-0.0215,2026-05-25,5.7358219864795625,2026-05-25,0,0.19781862768637648,G202605251142
B202605251142,50065,S009,4,354.0,38.0,26.119843,26.119843,temperature (board),5.214935757608986,5.346512382108986,0.40505,paired,Kamonyi. EP Rwishwima. Near the toilets. Rain water tank,Source (untreated),0.0,False,2026-05-25 11:42:00+00:00,-0.0215,2026-05-25,5.325959592779712,2026-05-25,0,0.02055278932927429,G202605251142
B202605251145,50045,S009,1,513.0,30.0,24.460938,25.472794,sipm_temperature,5.8377304471659395,5.933640614165939,-0.2561849,paired,Kamonyi. EP Rwishwima. Near the toilets. Rain water tank,Source (untreated),0.0,False,2026-05-25 11:45:00+00:00,-0.0215,2026-05-25,5.7358219864795625,2026-05-25,0,0.19781862768637648,G202605251142
B202605251145,50065,S009,4,355.0,39.0,25.8869625,25.8869625,temperature (board),5.220355825078324,5.3461641913436555,0.4027,paired,Kamonyi. EP Rwishwima. Near the toilets. Rain water tank,Source (untreated),0.0,False,2026-05-25 11:45:00+00:00,-0.0215,2026-05-25,5.325959592779712,2026-05-25,0,0.020204598563943854,G202605251142
B202605260943,50045,S010,1,487.0,29.0,28.460938,29.881287,sipm_temperature,5.75890177387728,5.94081194087728,0.02734375,paired,LSC15197,Treated,3.0,False,2026-05-26 09:43:00+00:00,-0.0215,2026-05-26,5.866750683293772,2026-05-26,0,0.07406125758350779,G202605260943
B202605260943,50065,S010,4,330.0,38.0,31.981049,31.981049,temperature (board),5.075173815233827,5.332766368733827,0.4338833333333334,paired,LSC15197,Treated,3.0,False,2026-05-26 09:43:00+00:00,-0.0215,2026-05-26,5.259016482892435,2026-05-26,0,0.07374988584139164,G202605260943
B202605260951,50065,S011,3,320.0,38.0,32.87735,32.87735,temperature (board),5.0106352940962555,5.2874983190962555,0.9320666666666667,paired,LSC11394,Treated,0.0,False,2026-05-26 09:51:00+00:00,-0.0215,2026-05-26,5.259016482892435,2026-05-26,0,0.028481836203820166,G202605260951
B202605261000,50045,S012,1,461.0,29.0,24.710938,25.709457,sipm_temperature,5.673323267171493,5.774608434171493,1.02428385,paired,LSC15145,Treated,0.0,False,2026-05-26 10:00:00+00:00,-0.0215,2026-05-26,5.866750683293772,2026-05-26,0,-0.0921422491222792,G202605261000
B202605261000,50065,S012,4,318.0,38.0,31.2144165,31.2144165,temperature (board),4.997212273764115,5.240649517514115,0.4265166666666667,paired,LSC15145,Treated,0.0,False,2026-05-26 10:00:00+00:00,-0.0215,2026-05-26,5.259016482892435,2026-05-26,0,-0.01836696537832072,G202605261000
B202605261017,50065,S014,4,310.5,37.5,30.70456,30.70456,temperature (board),4.945201156493736,5.175349196493736,0.4141833333333333,paired,LSC11379,Treated,0.0,False,2026-05-26 10:17:00+00:00,-0.0215,2026-05-26,5.259016482892435,2026-05-26,0,-0.08366728639869958,G202605261017
B202605261007,50045,S013,1,490.0,29.0,24.578125,25.364532,sipm_temperature,5.768320995793772,5.866750683293772,0.02252603333333333,paired,LSC11391,Treated,1.0,False,2026-05-26 10:07:00+00:00,-0.0215,2026-05-26,5.866750683293772,2026-05-26,0,0.0,G202605261007
B202605261007,50065,S013,4,323.0,38.0,30.631561,30.631561,temperature (board),5.030437921392435,5.259016482892435,0.41751666666666665,paired,LSC11391,Treated,1.0,False,2026-05-26 10:07:00+00:00,-0.0215,2026-05-26,5.259016482892435,2026-05-26,0,0.0,G202605261007
B202605261052,50045,S017,1,583.0,29.0,25.210938,25.96878,sipm_temperature,6.023447592961033,6.135482759961033,3.015494783333333,paired,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,Source (untreated),0.0,False,2026-05-26 10:52:00+00:00,-0.0215,2026-05-26,5.866750683293772,2026-05-26,0,0.26873207666726096,G202605261052
B202605261052,50065,S017,3,446.0,39.0,30.432648,30.432648,temperature (board),5.62040086571715,5.84470279771715,0.81835,paired,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,Source (untreated),0.0,False,2026-05-26 10:52:00+00:00,-0.0215,2026-05-26,5.259016482892435,2026-05-26,0,0.5856863148247147,G202605261052
B202605261054,50045,S017,1,583.0,29.0,25.210938,25.96878,sipm_temperature,6.023447592961033,6.135482759961033,1.0154947833333334,paired,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,Source (untreated),0.0,False,2026-05-26 10:54:00+00:00,-0.0215,2026-05-26,5.866750683293772,2026-05-26,0,0.26873207666726096,G202605261052
B202605261054,50065,S017,4,478.0,40.0,30.343277,30.343277,temperature (board),5.729672673633983,5.952053129133984,0.30770000000000003,paired,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,Source (untreated),0.0,False,2026-05-26 10:54:00+00:00,-0.0215,2026-05-26,5.259016482892435,2026-05-26,0,0.6930366462415485,G202605261052
B202605261044,50045,S016,1,537.0,33.0,25.367188,26.029205,sipm_temperature,5.905361848054571,6.02075639005457,-0.98359375,paired,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,Source (untreated),33.0,False,2026-05-26 10:44:00+00:00,-0.0215,2026-05-26,5.866750683293772,2026-05-26,0,0.15400570676079806,G202605261044
