bag_id,barcode,soak_id,n_readings,mon2,tof,Tch,temp_diag,T_channel,sig,sig_T,reading_offset_min,status,site,water_type,cbt,censored,t_utc,b_T,day,baseline,baseline_day,baseline_age_days,sig_TD,sample_group,sample_local,chlorine,F,B,Blog,Tc,FT,base_age,cens,bc,grp,bag,pred_new sensor + new day,cut10_new sensor + new day,pred_day held out,cut10_day held out,cl
B202605251055,50065,S005,4,341.0,38.0,29.2707525,29.2707525,temperature (board),5.14166355650266,5.339847987252661,0.4498833333333333,paired,LSC15206,Treated,0.0,False,2026-05-25 10:55:00+00:00,-0.0215,2026-05-25,5.325959592779712,2026-05-25,0,0.013888394472949,G202605251055,2026-05-25 10:55:00,,0.02777678894589819,0.0,0.0,9.2707525,0.257511735562158,0,False,50065,G202605251055,B202605251055,0.22570905542218564,7.216330301596466,0.24907754685693478,5.135755579956611,
B202605251116,50045,S007,1,532.0,32.0,25.28125,26.185303,sipm_temperature,5.8916442118257715,6.005191086825771,-1.2620442833333334,paired,Kamonyi. EP Rwishwima. Near nursery class2. Rain water tank,Source (untreated),5.0,False,2026-05-25 11:16:00+00:00,-0.0215,2026-05-25,5.7358219864795625,2026-05-25,0,0.2693691003462088,G202605251116,2026-05-25 11:16:00,,0.26936910034620887,2.0,0.06453852113757116,5.28125,1.4226055612034156,0,False,50045,G202605251116,B202605251116,1.0005994327975607,1.1692905330306933,0.9568280953957345,5.135755579956611,
B202605251116,50065,S007,4,459.0,41.0,27.777756,27.777756,temperature (board),5.666420701558232,5.833642455558232,0.3848833333333333,paired,Kamonyi. EP Rwishwima. Near nursery class2. Rain water tank,Source (untreated),5.0,False,2026-05-25 11:16:00+00:00,-0.0215,2026-05-25,5.325959592779712,2026-05-25,0,0.5076828627785206,G202605251116,2026-05-25 11:16:00,,0.5076828627785206,3.0,0.07598590697792205,7.777756,3.9486334320728154,0,False,50065,G202605251116,B202605251116,1.3125147747806718,7.216330301596466,1.2448702396309188,5.135755579956611,
B202605251120,50045,S007,1,576.0,32.0,24.367188,25.568466,sipm_temperature,6.0063531596017325,6.100247701601733,0.7372395833333333,paired,Kamonyi. EP Rwishwima. In front of the kitchen. Rain water tank,Source (untreated),5.0,False,2026-05-25 11:20:00+00:00,-0.0215,2026-05-25,5.7358219864795625,2026-05-25,0,0.3644257151221701,G202605251116,2026-05-25 11:20:00,,0.36442571512217015,2.0,0.06453852113757116,4.367187999999999,1.5915156099729595,0,False,50045,G202605251116,B202605251120,1.166303416683916,1.1692905330306933,1.0987035272358174,5.135755579956611,
B202605251120,50065,S007,4,463.0,41.0,27.0199285,27.0199285,temperature (board),5.680172609017068,5.831370353677874,0.3809666666666666,paired,Kamonyi. EP Rwishwima. In front of the kitchen. Rain water tank,Source (untreated),5.0,False,2026-05-25 11:20:00+00:00,-0.0215,2026-05-25,5.325959592779712,2026-05-25,0,0.5054107608981626,G202605251116,2026-05-25 11:20:00,,0.5054107608981626,3.0,0.07598590697792205,7.019928499999999,3.5479474046356967,0,False,50065,G202605251116,B202605251120,1.2924289436483316,7.216330301596466,1.263468874139403,5.135755579956611,
B202605251130,50065,S008,4,370.0,39.0,25.578522,25.578522,temperature (board),5.298317366548036,5.418255589548036,0.4079083333333333,paired,Kamonyi. EP Rwishwima. Between nursery class1 and nursery class2. Spring water tap,Source (untreated),0.0,False,2026-05-25 11:30:00+00:00,-0.0215,2026-05-25,5.325959592779712,2026-05-25,0,0.0922959967683247,G202605251130,2026-05-25 11:30:00,,0.09229599676832478,1.0,0.025975486403260736,5.5785219999999995,0.5148752484840287,0,False,50065,G202605251130,B202605251130,0.49184507408767736,7.216330301596466,0.5282126982694653,5.135755579956611,
B202605251133,50065,S008,4,368.5,38.5,25.578522,25.578522,temperature (board),5.290785927709514,5.410724150709514,0.4049,paired,Kamonyi. EP Rwishwima. Between nursery class1 and nursery class2. Spring water tap,Source (untreated),0.0,False,2026-05-25 11:33:00+00:00,-0.0215,2026-05-25,5.325959592779712,2026-05-25,0,0.0847645579298026,G202605251130,2026-05-25 11:33:00,,0.08476455792980264,0.5,0.0130720815673527,5.5785219999999995,0.47286095123167843,0,False,50065,G202605251130,B202605251133,0.41322336688148065,7.216330301596466,0.4515167348364051,5.135755579956611,
B202605251142,50045,S009,1,513.0,30.0,24.460938,25.472794,sipm_temperature,5.8377304471659395,5.933640614165939,2.7438151,paired,Kamonyi. EP Rwishwima. Near the toilets. Rain water tank,Source (untreated),0.0,False,2026-05-25 11:42:00+00:00,-0.0215,2026-05-25,5.7358219864795625,2026-05-25,0,0.1978186276863764,G202605251142,2026-05-25 11:42:00,,0.19781862768637648,0.0,0.0,4.460937999999999,0.8824566333540087,0,False,50045,G202605251142,B202605251142,0.6993676161241227,1.1692905330306933,0.5477589949188197,5.135755579956611,
B202605251142,50065,S009,4,354.0,38.0,26.119843,26.119843,temperature (board),5.214935757608986,5.346512382108986,0.40505,paired,Kamonyi. EP Rwishwima. Near the toilets. Rain water tank,Source (untreated),0.0,False,2026-05-25 11:42:00+00:00,-0.0215,2026-05-25,5.325959592779712,2026-05-25,0,0.0205527893292742,G202605251142,2026-05-25 11:42:00,,0.02055278932927429,0.0,0.0,6.1198429999999995,0.12577984390723396,0,False,50065,G202605251142,B202605251142,0.25788513734208074,7.216330301596466,0.29411312815819235,5.135755579956611,
B202605251145,50045,S009,1,513.0,30.0,24.460938,25.472794,sipm_temperature,5.8377304471659395,5.933640614165939,-0.2561849,paired,Kamonyi. EP Rwishwima. Near the toilets. Rain water tank,Source (untreated),0.0,False,2026-05-25 11:45:00+00:00,-0.0215,2026-05-25,5.7358219864795625,2026-05-25,0,0.1978186276863764,G202605251142,2026-05-25 11:45:00,,0.19781862768637648,0.0,0.0,4.460937999999999,0.8824566333540087,0,False,50045,G202605251142,B202605251145,0.6993676161241227,1.1692905330306933,0.5477589949188197,5.135755579956611,
B202605251145,50065,S009,4,355.0,39.0,25.8869625,25.8869625,temperature (board),5.220355825078324,5.3461641913436555,0.4027,paired,Kamonyi. EP Rwishwima. Near the toilets. Rain water tank,Source (untreated),0.0,False,2026-05-25 11:45:00+00:00,-0.0215,2026-05-25,5.325959592779712,2026-05-25,0,0.0202045985639438,G202605251142,2026-05-25 11:45:00,,0.020204598563943854,1.0,0.025975486403260736,5.886962499999999,0.1189437140734913,0,False,50065,G202605251142,B202605251145,0.4005899165545373,7.216330301596466,0.4331268433157701,5.135755579956611,
B202605260943,50045,S010,1,487.0,29.0,28.460938,29.881287,sipm_temperature,5.75890177387728,5.94081194087728,0.02734375,paired,LSC15197,Treated,3.0,False,2026-05-26 09:43:00+00:00,-0.0215,2026-05-26,5.866750683293772,2026-05-26,0,0.0740612575835077,G202605260943,2026-05-26 09:43:00,,0.12013238214464739,0.0,0.0,8.460937999999999,1.0164326371181684,0,False,50045,G202605260943,B202605260943,0.37928465545022383,1.042583609808241,0.291732168992461,15.015370832094582,
B202605260943,50065,S010,4,330.0,38.0,31.981049,31.981049,temperature (board),5.075173815233827,5.332766368733827,0.4338833333333334,paired,LSC15197,Treated,3.0,False,2026-05-26 09:43:00+00:00,-0.0215,2026-05-26,5.259016482892435,2026-05-26,0,0.0737498858413916,G202605260943,2026-05-26 09:43:00,,0.08293336853055244,0.0,0.0,11.981048999999999,0.9936287520996067,0,False,50065,G202605260943,B202605260943,0.2783064707004733,14.357704758751783,0.22302336867476366,15.015370832094582,
B202605260951,50065,S011,3,320.0,38.0,32.87735,32.87735,temperature (board),5.0106352940962555,5.2874983190962555,0.9320666666666668,paired,LSC11394,Treated,0.0,False,2026-05-26 09:51:00+00:00,-0.0215,2026-05-26,5.259016482892435,2026-05-26,0,0.0284818362038201,G202605260951,2026-05-26 09:51:00,,0.03766531889298097,0.0,0.0,12.87735,0.48502949424652847,0,False,50065,G202605260951,B202605260951,0.20359804570695342,14.357704758751783,0.16878894197213812,15.015370832094582,
B202605261000,50045,S012,1,461.0,29.0,24.710938,25.709457,sipm_temperature,5.673323267171493,5.774608434171493,1.02428385,paired,LSC15145,Treated,0.0,False,2026-05-26 10:00:00+00:00,-0.0215,2026-05-26,5.866750683293772,2026-05-26,0,-0.0921422491222792,G202605261000,2026-05-26 10:00:00,,-0.12917287791403265,0.0,0.0,4.710937999999999,-0.6085254191345769,0,False,50045,G202605261000,B202605261000,0.11400057109692793,1.042583609808241,0.009632222171284954,15.015370832094582,
B202605261000,50065,S012,4,318.0,38.0,31.2144165,31.2144165,temperature (board),4.997212273764115,5.240649517514115,0.4265166666666667,paired,LSC15145,Treated,0.0,False,2026-05-26 10:00:00+00:00,-0.0215,2026-05-26,5.259016482892435,2026-05-26,0,-0.0183669653783207,G202605261000,2026-05-26 10:00:00,,-0.032607883480230804,0.0,0.0,11.214416499999999,-0.3656783865307777,0,False,50065,G202605261000,B202605261000,0.09542287444868258,14.357704758751783,0.10200491595132458,15.015370832094582,
B202605261017,50065,S014,4,310.5,37.5,30.70456,30.70456,temperature (board),4.945201156493736,5.175349196493736,0.4141833333333333,paired,LSC11379,Treated,0.0,False,2026-05-26 10:17:00+00:00,-0.0215,2026-05-26,5.259016482892435,2026-05-26,0,-0.0836672863986995,G202605261017,2026-05-26 10:17:00,,-0.09790820450060966,-0.5,-0.01324522675002068,10.70456,-1.0480642495690462,0,False,50065,G202605261017,B202605261017,-0.06947124353998177,14.357704758751783,-0.035951076354904576,15.015370832094582,
B202605261007,50045,S013,1,490.0,29.0,24.578125,25.364532,sipm_temperature,5.768320995793772,5.866750683293772,0.0225260333333333,paired,LSC11391,Treated,1.0,False,2026-05-26 10:07:00+00:00,-0.0215,2026-05-26,5.866750683293772,2026-05-26,0,0.0,G202605261007,2026-05-26 10:07:00,,0.009040495769386148,0.0,0.0,4.578125,0.04138851969422096,0,False,50045,G202605261007,B202605261007,0.3060739565073568,1.042583609808241,0.18367265485449352,15.015370832094582,
B202605261007,50065,S013,4,323.0,38.0,30.631561,30.631561,temperature (board),5.030437921392435,5.259016482892435,0.4175166666666666,paired,LSC11391,Treated,1.0,False,2026-05-26 10:07:00+00:00,-0.0215,2026-05-26,5.259016482892435,2026-05-26,0,0.0,G202605261007,2026-05-26 10:07:00,,-0.005057435412749278,0.0,0.0,10.631561000000001,-0.053768433094204135,0,False,50065,G202605261007,B202605261007,0.14120758761083252,14.357704758751783,0.13514918926989383,15.015370832094582,
B202605261052,50045,S017,1,583.0,29.0,25.210938,25.96878,sipm_temperature,6.023447592961033,6.135482759961033,3.015494783333333,paired,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,Source (untreated),0.0,False,2026-05-26 10:52:00+00:00,-0.0215,2026-05-26,5.866750683293772,2026-05-26,0,0.2687320766672609,G202605261052,2026-05-26 10:52:00,,0.26873207666726096,0.0,0.0,5.210937999999999,1.400346190124343,0,False,50045,G202605261052,B202605261052,0.6477799204055277,1.042583609808241,0.5027212234963943,15.015370832094582,
B202605261052,50065,S017,3,446.0,39.0,30.432648,30.432648,temperature (board),5.62040086571715,5.84470279771715,0.81835,paired,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,Source (untreated),0.0,False,2026-05-26 10:52:00+00:00,-0.0215,2026-05-26,5.259016482892435,2026-05-26,0,0.5856863148247147,G202605261052,2026-05-26 10:52:00,,0.5856863148247147,1.0,0.025975486403260736,10.432648,6.11025916098343,0,False,50065,G202605261052,B202605261052,1.1701283587517106,14.357704758751783,0.9276172024077936,15.015370832094582,
B202605261054,50045,S017,1,583.0,29.0,25.210938,25.96878,sipm_temperature,6.023447592961033,6.135482759961033,1.0154947833333334,paired,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,Source (untreated),0.0,False,2026-05-26 10:54:00+00:00,-0.0215,2026-05-26,5.866750683293772,2026-05-26,0,0.2687320766672609,G202605261052,2026-05-26 10:54:00,,0.26873207666726096,0.0,0.0,5.210937999999999,1.400346190124343,0,False,50045,G202605261052,B202605261054,0.6477799204055277,1.042583609808241,0.5027212234963943,15.015370832094582,
B202605261054,50065,S017,4,478.0,40.0,30.343277,30.343277,temperature (board),5.729672673633983,5.952053129133984,0.3077,paired,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,Source (untreated),0.0,False,2026-05-26 10:54:00+00:00,-0.0215,2026-05-26,5.259016482892435,2026-05-26,0,0.6930366462415485,G202605261052,2026-05-26 10:54:00,,0.6930366462415485,2.0,0.05129329438755048,10.343277,7.168270003227345,0,False,50065,G202605261052,B202605261054,1.4585402008777426,14.357704758751783,1.1789543638864606,15.015370832094582,
B202605261044,50045,S016,1,537.0,33.0,25.367188,26.029205,sipm_temperature,5.905361848054571,6.02075639005457,-0.98359375,paired,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,Source (untreated),33.0,False,2026-05-26 10:44:00+00:00,-0.0215,2026-05-26,5.866750683293772,2026-05-26,0,0.154005706760798,G202605261044,2026-05-26 10:44:00,,0.15400570676079806,4.0,0.12921173148000625,5.367187999999999,0.826577581258074,0,False,50045,G202605261044,B202605261044,0.9648467834854744,1.042583609808241,1.020904693860692,15.015370832094582,
B202605261044,50065,S016,4,416.5,38.0,30.9374695,30.9374695,temperature (board),5.506453944960415,5.741609539210415,0.3376,paired,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,Source (untreated),33.0,False,2026-05-26 10:44:00+00:00,-0.0215,2026-05-26,5.259016482892435,2026-05-26,0,0.4825930563179801,G202605261044,2026-05-26 10:44:00,,0.4825930563179801,0.0,0.0,10.937469499999999,5.278346834389689,0,False,50065,G202605261044,B202605261044,0.8960198019701225,14.357704758751783,0.6710589746044602,15.015370832094582,
B202605261046,50045,S016,1,537.0,33.0,25.367188,26.029205,sipm_temperature,5.905361848054571,6.02075639005457,-2.98359375,paired,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,Source (untreated),33.0,False,2026-05-26 10:46:00+00:00,-0.0215,2026-05-26,5.866750683293772,2026-05-26,0,0.154005706760798,G202605261044,2026-05-26 10:46:00,,0.15400570676079806,4.0,0.12921173148000625,5.367187999999999,0.826577581258074,0,False,50045,G202605261044,B202605261046,0.9648467834854744,1.042583609808241,1.020904693860692,15.015370832094582,
B202605261046,50065,S016,4,451.5,38.0,30.7713015,30.7713015,temperature (board),5.63967635908274,5.87125934133274,0.3242583333333332,paired,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,Source (untreated),33.0,False,2026-05-26 10:46:00+00:00,-0.0215,2026-05-26,5.259016482892435,2026-05-26,0,0.6122428584403048,G202605261044,2026-05-26 10:46:00,,0.6122428584403048,0.0,0.0,10.7713015,6.594652419482343,0,False,50065,G202605261044,B202605261046,1.0905003297076843,14.357704758751783,0.8172999639327658,15.015370832094582,
B202605270836,50065,S018,4,327.5,38.0,33.87059,33.87059,temperature (board),5.059420419187637,5.36079268878427,0.2443666666666666,paired,LSC11525,Treated,0.0,False,2026-05-27 08:36:00+00:00,-0.0215,2026-05-27,5.474759820957615,2026-05-27,0,-0.1139671321733457,G202605270836,2026-05-27 08:36:00,,-0.18180863827480565,0.0,0.0,13.87059,-2.5217930799681363,0,False,50065,G202605270836,B202605270836,-0.10965281233704555,9.196732323179463,-0.06835270675258087,5.903699652085058,
B202605270845,50045,S019,1,475.0,29.0,26.585938,28.161697,sipm_temperature,5.720311776607412,5.861909443607412,-1.21627605,paired,LSC11517,Treated,0.0,False,2026-05-27 08:45:00+00:00,-0.0215,2026-05-27,5.8904838564454645,2026-05-27,0,-0.0285744128380525,G202605270845,2026-05-27 08:45:00,,-0.05714882567610502,0.0,0.0,6.585937999999999,-0.37637862267563565,0,False,50045,G202605270845,B202605270845,0.192657111155756,1.1741708308764716,0.09964591008197538,5.903699652085058,
B202605270845,50065,S019,4,364.0,38.0,33.10771149999999,33.10771149999999,temperature (board),5.267858159063328,5.547265311313328,0.2190166666666666,paired,LSC11517,Treated,0.0,False,2026-05-27 08:45:00+00:00,-0.0215,2026-05-27,5.474759820957615,2026-05-27,0,0.0725054903557129,G202605270845,2026-05-27 08:45:00,,0.14034699645717374,0.0,0.0,13.107711499999994,1.8396279394521546,0,False,50065,G202605270845,B202605270845,0.3369992818093379,9.196732323179463,0.30084900922062574,5.903699652085058,
B202605270853,50065,S020,4,343.5,38.0,31.662552,31.662552,temperature (board),5.156173446856155,5.406918314856155,0.2223,paired,LSC15487,Treated,0.0,False,2026-05-27 08:53:00+00:00,-0.0215,2026-05-27,5.474759820957615,2026-05-27,0,-0.0678415061014607,G202605270853,2026-05-27 08:53:00,,-0.13568301220292067,0.0,0.0,11.662552000000002,-1.582410185333197,0,False,50065,G202605270853,B202605270853,-0.05108742742708822,9.196732323179463,-0.017713817144286437,5.903699652085058,
B202605270903,50045,S021,1,457.0,29.0,25.632812,27.091675,sipm_temperature,5.659482215759621,5.780587673759621,-1.2448567833333333,paired,LSC15484,Treated,0.0,False,2026-05-27 09:03:00+00:00,-0.0215,2026-05-27,5.8904838564454645,2026-05-27,0,-0.1098961826858433,G202605270903,2026-05-27 09:03:00,,-0.13847059552389585,0.0,0.0,5.632812000000001,-0.779978832114147,0,False,50045,G202605270903,B202605270903,0.08895265743593567,1.1741708308764716,-0.02369131014828385,5.903699652085058,
B202605270903,50065,S021,3,371.0,38.0,31.130066,31.130066,temperature (board),5.303304908059076,5.542601327059075,-0.3023999999999999,paired,LSC15484,Treated,0.0,False,2026-05-27 09:03:00+00:00,-0.0215,2026-05-27,5.474759820957615,2026-05-27,0,0.0678415061014598,G202605270903,2026-05-27 09:03:00,,0.13568301220292067,0.0,0.0,11.130066,1.5101608808973124,0,False,50065,G202605270903,B202605270903,0.35401101933534135,9.196732323179463,0.3244865851622513,5.903699652085058,
B202605270920,50045,S023,1,841.0,29.0,24.132812,24.974289,sipm_temperature,6.508769136971682,6.597624594971682,-0.2515625,paired,LSC11469,Treated,0.0,False,2026-05-27 09:20:00+00:00,-0.0215,2026-05-27,5.8904838564454645,2026-05-27,0,0.7071407385262178,G202605270920,2026-05-27 09:20:00,,0.7357151513642703,0.0,0.0,4.132812000000001,3.0405724061400736,0,False,50045,G202605270920,B202605270920,1.4308034185334562,1.1741708308764716,1.415252298088796,5.903699652085058,
B202605270920,50065,S023,4,590.0,36.5,29.7339935,29.7339935,temperature (board),6.040243373280385,6.249524233530384,0.1127666666666666,paired,LSC11469,Treated,0.0,False,2026-05-27 09:20:00+00:00,-0.0215,2026-05-27,5.474759820957615,2026-05-27,0,0.7747644125727682,G202605270920,2026-05-27 09:20:00,,0.8426059186742298,-1.5,-0.04027389913793996,9.7339935,8.201920535436482,0,False,50065,G202605270920,B202605270920,1.274915580264304,9.196732323179463,1.0934639142403388,5.903699652085058,
