sample_local,site,water_type,cbt,past_detect,chlorine,enumerator,submitted,tz_sample,tz_survey,barcodes,cbt_recorded,batch,tz_survey_used,tz_imputed,t_utc,shift_min,censored,bag_id,soak_id,sample_group
2026-05-27 08:45:00,LSC11517,Treated,0.0,False,,E1,2026-05-28 10:45:09,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",0.0,5,,False,2026-05-27 08:45:00+00:00,0,False,B202605270845,S019,G202605270845
2026-05-27 08:53:00,LSC15487,Treated,0.0,False,,E1,2026-05-28 10:46:51,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",0.0,5,,False,2026-05-27 08:53:00+00:00,0,False,B202605270853,S020,G202605270853
2026-05-27 09:03:00,LSC15484,Treated,0.0,False,,E1,2026-05-28 10:48:12,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",0.0,5,,False,2026-05-27 09:03:00+00:00,0,False,B202605270903,S021,G202605270903
2026-05-27 09:20:00,LSC11469,Treated,0.0,False,,E1,2026-05-28 10:49:32,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",0.0,5,,False,2026-05-27 09:20:00+00:00,0,False,B202605270920,S023,G202605270920
2026-05-27 09:30:00,LSC11558,Treated,0.0,False,,E1,2026-05-28 10:51:16,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",0.0,5,,False,2026-05-27 09:30:00+00:00,0,False,B202605270930,S024,G202605270930
2026-05-27 09:39:00,Kamonyi. EP Nyakabungo. Near new kitchen. Spring water tap,Source (untreated),0.0,False,,E1,2026-05-28 10:58:25,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",0.0,5,,False,2026-05-27 09:39:00+00:00,0,False,B202605270939,S025,G202605270939
2026-05-27 09:54:00,Kamonyi. EP Nyakabungo. Behind P3A classroom. Rain water tank,Source (untreated),0.0,False,,E1,2026-05-28 11:01:09,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",0.0,5,,False,2026-05-27 09:54:00+00:00,0,False,B202605270954,S026,G202605270954
2026-05-28 08:14:00,Fake.Kicukiro.Amazi Meza warehouse.Kagina. Spring water,Source (untreated),0.0,False,,E1,2026-05-29 07:53:22,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",0.0,6,,False,2026-05-28 08:14:00+00:00,0,False,B202605280814,S027,G202605280814
2026-05-28 09:03:00,Fake.Kicukiro. Amazi Meza warehouse.Kanengwa. Spring water,Source (untreated),0.0,False,,E1,2026-05-29 07:55:36,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",0.0,6,,False,2026-05-28 09:03:00+00:00,0,False,B202605280903,S029,G202605280903
2026-05-28 09:11:00,Fake.Kicukiro.Amazi Meza warehouse.Iriba.Spring water,Source (untreated),5.0,False,,E1,2026-05-29 07:57:31,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",5.0,6,,False,2026-05-28 09:11:00+00:00,0,False,B202605280911,S030,G202605280911
2026-05-28 09:52:00,Fake.Kicukiro.Amazi Meza warehouse.Inindi House.Rainwater tank,Source (untreated),0.0,False,,E1,2026-05-29 07:58:24,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",0.0,6,,False,2026-05-28 09:52:00+00:00,0,False,B202605280952,S031,G202605280952
2026-05-29 08:43:00,Fake.Kicukiro.Amazi Meza warehouse.Nyirakanamba I.Water Stream,Source (untreated),100.0,True,,E1,2026-05-30 17:37:07,UTC+02:00 Central Africa Time (Rwanda),UTC+02:00 Central Africa Time (Rwanda),"['50045', '50065']",100.0,7,UTC+02:00 Central Africa Time (Rwanda),False,2026-05-29 08:43:00+00:00,0,True,B202605290843,S032,G202605290843
2026-05-29 08:54:00,Fake.Kicukiro.Amazi Meza wahehouse.Nyirakanamba II. Water pipe,Source (untreated),100.0,True,,E1,2026-05-30 17:38:05,UTC+02:00 Central Africa Time (Rwanda),UTC+02:00 Central Africa Time (Rwanda),"['50045', '50065']",100.0,7,UTC+02:00 Central Africa Time (Rwanda),False,2026-05-29 08:54:00+00:00,0,True,B202605290854,S033,G202605290854
2026-05-29 09:01:00,Fake.Kicukiro.Amazi Meza wahehouse.Nyirakanamba II. Water pipe,Source (untreated),100.0,True,,E1,2026-05-30 17:38:59,UTC+02:00 Central Africa Time (Rwanda),UTC+02:00 Central Africa Time (Rwanda),"['50045', '50065']",100.0,7,UTC+02:00 Central Africa Time (Rwanda),False,2026-05-29 09:01:00+00:00,0,True,B202605290901,S034,G202605290901
2026-05-29 09:28:00,Fake.Kicukiro.Amazi Meza warehouse.Kabeza.Stream Water,Source (untreated),100.0,True,,E1,2026-05-30 17:40:10,UTC+02:00 Central Africa Time (Rwanda),UTC+02:00 Central Africa Time (Rwanda),"['50045', '50065']",100.0,7,UTC+02:00 Central Africa Time (Rwanda),False,2026-05-29 09:28:00+00:00,0,True,B202605290928,S035,G202605290928
2026-05-29 09:36:00,Fake.Kicukiro.Amazi Meza warehouse.Kabeza.Stream Water,Source (untreated),100.0,True,,E1,2026-05-30 17:41:13,UTC+02:00 Central Africa Time (Rwanda),UTC+02:00 Central Africa Time (Rwanda),"['50045', '50065']",100.0,7,UTC+02:00 Central Africa Time (Rwanda),False,2026-05-29 09:36:00+00:00,0,True,B202605290936,S036,G202605290936
2026-05-29 09:48:00,Fake.Kicukiro.Amazi Meza warehouse.Sahara.Stream water,Source (untreated),100.0,True,,E1,2026-05-30 17:42:27,UTC+02:00 Central Africa Time (Rwanda),UTC+02:00 Central Africa Time (Rwanda),"['50045', '50065']",100.0,7,UTC+02:00 Central Africa Time (Rwanda),False,2026-05-29 09:48:00+00:00,0,True,B202605290948,S037,G202605290948
2026-05-30 12:05:00,Fake.Kicukiro.Amazi Meza wahehouse.Nyirakanamba II. Water pipe,Source (untreated),100.0,True,,E1,2026-06-02 14:20:55,UTC+02:00 Central Africa Time (Rwanda),UTC+03:00 East Africa Time (Kenya),"['50045', '50065']",100.0,8,UTC+03:00 East Africa Time (Kenya),False,2026-05-30 13:05:00+00:00,60,True,B202605301205,S041,G202605301205
2026-05-30 12:21:00,Fake.Kicukiro.Amazi Meza warehouse.Nyirakanamba I.Water Stream,Source (untreated),100.0,True,,E1,2026-06-02 14:22:47,UTC+02:00 Central Africa Time (Rwanda),UTC+03:00 East Africa Time (Kenya),"['50045', '50065']",100.0,8,UTC+03:00 East Africa Time (Kenya),False,2026-05-30 13:21:00+00:00,60,True,B202605301221,S042,G202605301221
2026-05-30 12:28:00,Fake.Kicukiro.Amazi Meza warehouse.Nyirakanamba I.Water Stream,Source (untreated),100.0,True,,E1,2026-06-02 14:24:03,UTC+02:00 Central Africa Time (Rwanda),UTC+03:00 East Africa Time (Kenya),"['50045', '50065']",100.0,8,UTC+03:00 East Africa Time (Kenya),False,2026-05-30 13:28:00+00:00,60,True,B202605301228,S043,G202605301228
2026-05-30 13:12:00,Fake.Kicukiro.Amazi Meza warehouse.Kabeza.Stream Water,Source (untreated),100.0,True,,E1,2026-06-02 14:27:19,UTC+02:00 Central Africa Time (Rwanda),UTC+03:00 East Africa Time (Kenya),"['50045', '50065']",100.0,8,UTC+03:00 East Africa Time (Kenya),False,2026-05-30 14:12:00+00:00,60,True,B202605301312,,
2026-05-30 13:04:00,Fake.Kicukiro.Amazi Meza warehouse.Kabeza.Stream Water,Source (untreated),100.0,True,,E1,2026-06-02 14:28:21,UTC+02:00 Central Africa Time (Rwanda),UTC+03:00 East Africa Time (Kenya),"['50045', '50065']",100.0,8,UTC+03:00 East Africa Time (Kenya),False,2026-05-30 14:04:00+00:00,60,True,B202605301304,,G202605301304
2026-05-30 13:26:00,Fake.Kicukiro.Amazi Meza warehouse.Sahara.Stream water,Source (untreated),100.0,True,,E1,2026-06-02 14:30:18,UTC+02:00 Central Africa Time (Rwanda),UTC+03:00 East Africa Time (Kenya),"['50045', '50065']",100.0,8,UTC+03:00 East Africa Time (Kenya),False,2026-05-30 14:26:00+00:00,60,True,B202605301326,S044,G202605301326
2026-05-30 13:33:00,Fake.Kicukiro.Amazi Meza warehouse.Sahara.Stream water,Source (untreated),100.0,True,,E1,2026-06-02 14:31:09,UTC+02:00 Central Africa Time (Rwanda),,"['50045', '50065']",100.0,8,UTC+03:00 East Africa Time (Kenya),True,2026-05-30 14:33:00+00:00,60,True,B202605301333,S045,G202605301333
2026-06-02 10:35:00,,Source (untreated),100.0,True,0,E1,2026-06-06 08:16:14,UTC+03:00 East Africa Time (Kenya),UTC+03:00 East Africa Time (Kenya),['50065'],100.0,9,UTC+03:00 East Africa Time (Kenya),False,2026-06-02 10:35:00+00:00,0,True,B202606021035,S060,G202606021035
2026-06-03 10:25:00,,Source (untreated),100.0,True,0,E1,2026-06-06 08:19:06,UTC+03:00 East Africa Time (Kenya),UTC+03:00 East Africa Time (Kenya),['50053'],100.0,9,UTC+03:00 East Africa Time (Kenya),False,2026-06-03 10:25:00+00:00,0,True,B202606031025,,
2026-06-04 08:45:00,,Treated,0.0,False,0.2,E1,2026-06-06 08:20:23,UTC+03:00 East Africa Time (Kenya),UTC+03:00 East Africa Time (Kenya),"['50053', '50065']",0.0,9,UTC+03:00 East Africa Time (Kenya),False,2026-06-04 08:45:00+00:00,0,False,B202606040845,S067,G202606040845
2026-06-04 09:02:00,,Treated,0.0,False,0.2,E1,2026-06-06 08:21:28,UTC+03:00 East Africa Time (Kenya),UTC+03:00 East Africa Time (Kenya),"['50053', '50065']",0.0,9,UTC+03:00 East Africa Time (Kenya),False,2026-06-04 09:02:00+00:00,0,False,B202606040902,S068,G202606040902
2026-06-04 09:54:00,,Source (untreated),100.0,True,0,E1,2026-06-06 08:23:21,UTC+03:00 East Africa Time (Kenya),UTC+03:00 East Africa Time (Kenya),"['50053', '50065']",100.0,9,UTC+03:00 East Africa Time (Kenya),False,2026-06-04 09:54:00+00:00,0,True,B202606040954,S069,G202606040954
