Deployment,Enumerator > Username,Submitted On,Water Sampling Site > Name,Date and time of water sample ,Lume Barcode,Second Lume Barcode,Replicate 1: E Coli CFU / 100 ,Replicate 1: Total Coliform CF,In what timezone was the sampl,Type of Enumeration,Is the enumeration past detect,Type of Water,In what timezone was this surv,Chlorine residual concentratio
Lume 1.2 - 2026,E1,2026-05-28 10:49:32,LSC11469,2026-05-27 09:20:00,50065,50045,0,,UTC+02:00 Central Africa Time (Rwanda),CBT,No ( < 100 CFU/100 mL),Treated,,
Lume 1.2 - 2026,E1,2026-05-28 10:51:16,LSC11558,2026-05-27 09:30:00,50065,50045,0,,UTC+02:00 Central Africa Time (Rwanda),CBT,No ( < 100 CFU/100 mL),Treated,,
Lume 1.2 - 2026,E1,2026-05-28 10:58:25,Kamonyi. EP Nyakabungo. Near new kitchen. Spring water tap,2026-05-27 09:39:00,50065,50045,0,,UTC+02:00 Central Africa Time (Rwanda),CBT,No ( < 100 CFU/100 mL),Source (untreated),,
Lume 1.2 - 2026,E1,2026-05-28 11:01:09,Kamonyi. EP Nyakabungo. Behind P3A classroom. Rain water tank,2026-05-27 09:54:00,50065,50045,0,,UTC+02:00 Central Africa Time (Rwanda),CBT,No ( < 100 CFU/100 mL),Source (untreated),,
Lume 1.2 - 2026,E1,2026-05-29 07:53:22,Fake.Kicukiro.Amazi Meza warehouse.Kagina. Spring water,2026-05-28 08:14:00,50065,50045,0,,UTC+02:00 Central Africa Time (Rwanda),CBT,No ( < 100 CFU/100 mL),Source (untreated),,
Lume 1.2 - 2026,E1,2026-05-29 07:54:27,Fake.Kicukiro.Amazi Meza warehouse.Rugando.Stream water,2026-05-28 08:33:00,50065,50045,48,,UTC+02:00 Central Africa Time (Rwanda),CBT,No ( < 100 CFU/100 mL),Source (untreated),,
Lume 1.2 - 2026,E1,2026-05-29 07:55:36,Fake.Kicukiro. Amazi Meza warehouse.Kanengwa. Spring water,2026-05-28 09:03:00,50065,50045,0,,UTC+02:00 Central Africa Time (Rwanda),CBT,No ( < 100 CFU/100 mL),Source (untreated),,
Lume 1.2 - 2026,E1,2026-05-29 07:57:31,Fake.Kicukiro.Amazi Meza warehouse.Iriba.Spring water ,2026-05-28 09:11:00,50065,50045,5,,UTC+02:00 Central Africa Time (Rwanda),CBT,No ( < 100 CFU/100 mL),Source (untreated),,
Lume 1.2 - 2026,E1,2026-05-29 07:58:24,Fake.Kicukiro.Amazi Meza warehouse.Inindi House.Rainwater tank,2026-05-28 09:52:00,50065,50045,0,,UTC+02:00 Central Africa Time (Rwanda),CBT,No ( < 100 CFU/100 mL),Source (untreated),,
Lume 1.2 - 2026,E1,2026-05-30 17:37:07,Fake.Kicukiro.Amazi Meza warehouse.Nyirakanamba I.Water Stream,2026-05-29 08:43:00,50065,50045,100,,UTC+02:00 Central Africa Time (Rwanda),CBT,Yes ( > 100 CFU/100 mL),Source (untreated),UTC+02:00 Central Africa Time (Rwanda),
Lume 1.2 - 2026,E1,2026-05-30 17:38:05,Fake.Kicukiro.Amazi Meza wahehouse.Nyirakanamba II. Water pipe,2026-05-29 08:54:00,50065,50045,100,,UTC+02:00 Central Africa Time (Rwanda),CBT,Yes ( > 100 CFU/100 mL),Source (untreated),UTC+02:00 Central Africa Time (Rwanda),
Lume 1.2 - 2026,E1,2026-05-30 17:38:59,Fake.Kicukiro.Amazi Meza wahehouse.Nyirakanamba II. Water pipe,2026-05-29 09:01:00,50065,50045,100,,UTC+02:00 Central Africa Time (Rwanda),CBT,Yes ( > 100 CFU/100 mL),Source (untreated),UTC+02:00 Central Africa Time (Rwanda),
Lume 1.2 - 2026,E1,2026-05-30 17:40:10,Fake.Kicukiro.Amazi Meza warehouse.Kabeza.Stream Water,2026-05-29 09:28:00,50065,50045,100,,UTC+02:00 Central Africa Time (Rwanda),CBT,Yes ( > 100 CFU/100 mL),Source (untreated),UTC+02:00 Central Africa Time (Rwanda),
Lume 1.2 - 2026,E1,2026-05-30 17:41:13,Fake.Kicukiro.Amazi Meza warehouse.Kabeza.Stream Water,2026-05-29 09:36:00,50065,50045,100,,UTC+02:00 Central Africa Time (Rwanda),CBT,Yes ( > 100 CFU/100 mL),Source (untreated),UTC+02:00 Central Africa Time (Rwanda),
Lume 1.2 - 2026,E1,2026-05-30 17:42:27,Fake.Kicukiro.Amazi Meza warehouse.Sahara.Stream water,2026-05-29 09:48:00,50065,50045,100,,UTC+02:00 Central Africa Time (Rwanda),CBT,Yes ( > 100 CFU/100 mL),Source (untreated),UTC+02:00 Central Africa Time (Rwanda),
Lume 1.2 - 2026,E1,2026-05-30 17:43:32,Fake.Kicukiro.Amazi Meza warehouse.Rugando.Stream water,2026-05-29 10:20:00,50065,50045,100,,UTC+02:00 Central Africa Time (Rwanda),CBT,Yes ( > 100 CFU/100 mL),Source (untreated),UTC+02:00 Central Africa Time (Rwanda),
Lume 1.2 - 2026,E1,2026-05-30 17:44:40,Fake.Kicukiro.Amazi Meza warehouse.Rugando.Stream water,2026-05-29 10:27:00,50065,50045,100,,UTC+02:00 Central Africa Time (Rwanda),CBT,Yes ( > 100 CFU/100 mL),Source (untreated),UTC+02:00 Central Africa Time (Rwanda),
Lume 1.2 - 2026,E1,2026-06-02 14:20:55,Fake.Kicukiro.Amazi Meza wahehouse.Nyirakanamba II. Water pipe,2026-05-30 12:05:00,50065,50045,100,,UTC+02:00 Central Africa Time (Rwanda),CBT,Yes ( > 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),
