Deployment,Enumerator > Username,Submitted On,Water Sampling Site > Name,Date and time of water sample ,Lume Barcode,Second Lume Barcode,Replicate 1: E Coli CFU / 100 ,Replicate 1: Total Coliform CF,In what timezone was the sampl,Type of Enumeration,Is the enumeration past detect,Type of Water,In what timezone was this surv,Chlorine residual concentratio
Lume 1.2 - 2026,E1,2026-06-10 19:48:47,Isiolo.Isiolo.Ngaremara.Kona(Ngalabilabia).NextToSignPost.ArmartiJuuWaterKiosk,2026-06-09 07:48:00,50065,50053,14,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),0
Lume 1.2 - 2026,E1,2026-06-10 19:49:43,Isiolo.Isiolo.Ngaremara.Kona(Ngalabilabia).NextToSignPost.ArmartiJuuWaterKiosk,2026-06-09 07:51:00,50065,50053,5,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),0
Lume 1.2 - 2026,E1,2026-06-10 19:50:38,Isiolo.Isiolo.Ngaremara.Kona(Ngalabilabia).NextToSignPost.ArmartiJuuWaterKiosk,2026-06-09 07:53:00,50065,50053,5,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),0
Lume 1.2 - 2026,E1,2026-06-10 19:53:09,Isiolo.Isiolo.Ngaremara.Near50m3ElevatedSteelTank.ZebraCenterWaterKiosk,2026-06-09 08:28:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),0
Lume 1.2 - 2026,E1,2026-06-10 19:54:14,Isiolo.Isiolo.Ngaremara.Near50m3ElevatedSteelTank.ZebraCenterWaterKiosk,2026-06-09 08:30:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),0
Lume 1.2 - 2026,E1,2026-06-10 19:55:03,Isiolo.Isiolo.Ngaremara.Near50m3ElevatedSteelTank.ZebraCenterWaterKiosk,2026-06-09 08:33:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),0
Lume 1.2 - 2026,E1,2026-06-10 20:00:31,,2026-06-09 08:45:00,50065,50053,1,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),0
Lume 1.2 - 2026,E1,2026-06-10 20:01:22,,2026-06-09 08:48:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),0
Lume 1.2 - 2026,E1,2026-06-11 17:53:59,,2026-06-10 07:26:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),0
Lume 1.2 - 2026,E1,2026-06-11 17:55:06,,2026-06-10 07:30:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),0
Lume 1.2 - 2026,E1,2026-06-11 17:57:02,Isiolo.Isiolo.Ngaremara.Nasuroi.NearestToFarm.WaterKiosk2,2026-06-10 07:53:00,50065,50053,14,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),0
Lume 1.2 - 2026,E1,2026-06-11 17:58:12,Isiolo.Isiolo.Ngaremara.Nasuroi.NearestToFarm.WaterKiosk2,2026-06-10 07:57:00,50065,50053,48,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),0
Lume 1.2 - 2026,E1,2026-06-11 18:00:00,Isiolo.Isiolo.Ngaremara.Nasuroi.ClaraChlorinationSystem,2026-06-10 10:45:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),0.5
Lume 1.2 - 2026,E1,2026-06-11 18:00:56,Isiolo.Isiolo.Ngaremara.Nasuroi.ClaraChlorinationSystem,2026-06-10 10:50:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),0.5
Lume 1.2 - 2026,E1,2026-06-11 18:02:34,Isiolo.Isiolo.Ngaremara.Nasuroi.NasuroiBorehole,2026-06-10 11:10:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),0
Lume 1.2 - 2026,E1,2026-06-11 18:04:20,Isiolo.Isiolo.Ngaremara.Nasuroi.NasuroiBorehole,2026-06-10 11:13:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),0
Lume 1.2 - 2026,E1,2026-06-11 18:06:44,,2026-06-10 11:22:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),0.2
Lume 1.2 - 2026,E1,2026-06-11 18:08:03,,2026-06-10 11:25:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),0.2
Lume 1.2 - 2026,E1,2026-06-11 18:10:14,,2026-06-10 09:32:00,50065,50053,1,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),0
Lume 1.2 - 2026,E1,2026-06-11 18:11:04,,2026-06-10 09:37:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),0
Lume 1.2 - 2026,E1,2026-06-13 14:48:34,Isiolo.Garbatulla.Kulamawe 1 (police station).Borehole,2026-06-11 08:22:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),0
Lume 1.2 - 2026,E1,2026-06-13 14:49:30,Isiolo.Garbatulla.Kulamawe 1 (police station).Borehole,2026-06-11 08:29:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),0
Lume 1.2 - 2026,E1,2026-06-13 14:50:37,Isiolo.Garbatulla.Kulamawe 1 (police station).Borehole,2026-06-11 08:32:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),0
Lume 1.2 - 2026,E1,2026-06-13 14:52:07,Isiolo.Garbatula.Kinna.Kulamawe1 (Police station).Near Old Livestock troughts.Stand tap 1,2026-06-11 09:14:00,50065,50052,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),2
Lume 1.2 - 2026,E1,2026-06-13 14:53:10,Isiolo.Garbatula.Kinna.Kulamawe1 (Police station).Near Old Livestock troughts.Stand tap 1,2026-06-11 09:16:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),2
Lume 1.2 - 2026,E1,2026-06-13 14:57:31,Isiolo.Garbatula.Kinna.Kulamawe1 (Police station).Near Old Livestock troughts.Stand tap 1,2026-06-11 08:50:00,50065,50053,2,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),0
Lume 1.2 - 2026,E1,2026-06-13 14:58:15,Isiolo.Garbatula.Kinna.Kulamawe1 (Police station).Near Old Livestock troughts.Stand tap 1,2026-06-11 08:53:00,50065,50053,1,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),0
Lume 1.2 - 2026,E1,2026-06-13 14:59:08,Isiolo.Garbatula.Kinna.Kulamawe1 (Police station).Near Old Livestock troughts.Stand tap 1,2026-06-11 08:56:00,50065,50053,2,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),0
Lume 1.2 - 2026,E1,2026-06-13 15:00:13,Isiolo.Garbatula.Kinna.Kulamawe1 (Police station).Near Old Livestock troughts.Stand tap 1,2026-06-11 09:24:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),3
Lume 1.2 - 2026,E1,2026-06-13 15:00:57,Isiolo.Garbatula.Kinna.Kulamawe1 (Police station).Near Old Livestock troughts.Stand tap 1,2026-06-11 09:29:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),3
