record_id,sample_group,sensor,sample_time_local,sample_time_utc,site_name,water_type,country,cbt_mpn_per_100ml,cbt_censored,chlorine_residual_mg_l,sensor_mon2,sensor_tof_kcps,sensor_temperature_c,temperature_channel,F_corrected_fluorescence,B_log_tof_ratio,baseline_age_days,pred_log10_new_sensor_new_day,pred_log10_day_held_out
B202605260943,G202605260943,50065,2026-05-26 09:43:00,2026-05-26 09:43:00+00:00,LSC15197,Treated,Rwanda,3.0,False,,330.0,38.0,31.981049,temperature (board),0.0829333685305524,0.0,0,0.2783064707004733,0.2230233686747636
B202605260951,G202605260951,50065,2026-05-26 09:51:00,2026-05-26 09:51:00+00:00,LSC11394,Treated,Rwanda,0.0,False,,320.0,38.0,32.87735,temperature (board),0.0376653188929809,0.0,0,0.2035980457069534,0.1687889419721381
B202605261000,G202605261000,50045,2026-05-26 10:00:00,2026-05-26 10:00:00+00:00,LSC15145,Treated,Rwanda,0.0,False,,461.0,29.0,24.710938,sipm_temperature,-0.1291728779140326,0.0,0,0.1140005710969279,0.0096322221712849
B202605261000,G202605261000,50065,2026-05-26 10:00:00,2026-05-26 10:00:00+00:00,LSC15145,Treated,Rwanda,0.0,False,,318.0,38.0,31.2144165,temperature (board),-0.0326078834802308,0.0,0,0.0954228744486825,0.1020049159513245
B202605261017,G202605261017,50065,2026-05-26 10:17:00,2026-05-26 10:17:00+00:00,LSC11379,Treated,Rwanda,0.0,False,,310.5,37.5,30.70456,temperature (board),-0.0979082045006096,-0.0132452267500206,0,-0.0694712435399817,-0.0359510763549045
B202605261007,G202605261007,50045,2026-05-26 10:07:00,2026-05-26 10:07:00+00:00,LSC11391,Treated,Rwanda,1.0,False,,490.0,29.0,24.578125,sipm_temperature,0.0090404957693861,0.0,0,0.3060739565073568,0.1836726548544935
B202605261007,G202605261007,50065,2026-05-26 10:07:00,2026-05-26 10:07:00+00:00,LSC11391,Treated,Rwanda,1.0,False,,323.0,38.0,30.631561,temperature (board),-0.0050574354127492,0.0,0,0.1412075876108325,0.1351491892698938
B202605261052,G202605261052,50045,2026-05-26 10:52:00,2026-05-26 10:52:00+00:00,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,Source (untreated),Rwanda,0.0,False,,583.0,29.0,25.210938,sipm_temperature,0.2687320766672609,0.0,0,0.6477799204055277,0.5027212234963943
B202605261052,G202605261052,50065,2026-05-26 10:52:00,2026-05-26 10:52:00+00:00,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,Source (untreated),Rwanda,0.0,False,,446.0,39.0,30.432648,temperature (board),0.5856863148247147,0.0259754864032607,0,1.1701283587517106,0.9276172024077936
B202605261054,G202605261052,50045,2026-05-26 10:54:00,2026-05-26 10:54:00+00:00,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,Source (untreated),Rwanda,0.0,False,,583.0,29.0,25.210938,sipm_temperature,0.2687320766672609,0.0,0,0.6477799204055277,0.5027212234963943
B202605261054,G202605261052,50065,2026-05-26 10:54:00,2026-05-26 10:54:00+00:00,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,Source (untreated),Rwanda,0.0,False,,478.0,40.0,30.343277,temperature (board),0.6930366462415485,0.0512932943875504,0,1.4585402008777426,1.1789543638864606
B202605261044,G202605261044,50045,2026-05-26 10:44:00,2026-05-26 10:44:00+00:00,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,Source (untreated),Rwanda,33.0,False,,537.0,33.0,25.367188,sipm_temperature,0.154005706760798,0.1292117314800062,0,0.9648467834854744,1.020904693860692
B202605261044,G202605261044,50065,2026-05-26 10:44:00,2026-05-26 10:44:00+00:00,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,Source (untreated),Rwanda,33.0,False,,416.5,38.0,30.9374695,temperature (board),0.4825930563179801,0.0,0,0.8960198019701225,0.6710589746044602
B202605261046,G202605261044,50045,2026-05-26 10:46:00,2026-05-26 10:46:00+00:00,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,Source (untreated),Rwanda,33.0,False,,537.0,33.0,25.367188,sipm_temperature,0.154005706760798,0.1292117314800062,0,0.9648467834854744,1.020904693860692
B202605261046,G202605261044,50065,2026-05-26 10:46:00,2026-05-26 10:46:00+00:00,Kamonyi. EP Nyakabuye. Beside P6A classroom. Rain water tank,Source (untreated),Rwanda,33.0,False,,451.5,38.0,30.7713015,temperature (board),0.6122428584403048,0.0,0,1.0905003297076843,0.8172999639327658
B202605270836,G202605270836,50065,2026-05-27 08:36:00,2026-05-27 08:36:00+00:00,LSC11525,Treated,Rwanda,0.0,False,,327.5,38.0,33.87059,temperature (board),-0.1818086382748056,0.0,0,-0.1096528123370455,-0.0683527067525808
B202605270845,G202605270845,50045,2026-05-27 08:45:00,2026-05-27 08:45:00+00:00,LSC11517,Treated,Rwanda,0.0,False,,475.0,29.0,26.585938,sipm_temperature,-0.057148825676105,0.0,0,0.192657111155756,0.0996459100819753
B202605270845,G202605270845,50065,2026-05-27 08:45:00,2026-05-27 08:45:00+00:00,LSC11517,Treated,Rwanda,0.0,False,,364.0,38.0,33.10771149999999,temperature (board),0.1403469964571737,0.0,0,0.3369992818093379,0.3008490092206257
B202605270853,G202605270853,50065,2026-05-27 08:53:00,2026-05-27 08:53:00+00:00,LSC15487,Treated,Rwanda,0.0,False,,343.5,38.0,31.662552,temperature (board),-0.1356830122029206,0.0,0,-0.0510874274270882,-0.0177138171442864
B202605270903,G202605270903,50045,2026-05-27 09:03:00,2026-05-27 09:03:00+00:00,LSC15484,Treated,Rwanda,0.0,False,,457.0,29.0,25.632812,sipm_temperature,-0.1384705955238958,0.0,0,0.0889526574359356,-0.0236913101482838
B202605270903,G202605270903,50065,2026-05-27 09:03:00,2026-05-27 09:03:00+00:00,LSC15484,Treated,Rwanda,0.0,False,,371.0,38.0,31.130066,temperature (board),0.1356830122029206,0.0,0,0.3540110193353413,0.3244865851622513
B202605270920,G202605270920,50045,2026-05-27 09:20:00,2026-05-27 09:20:00+00:00,LSC11469,Treated,Rwanda,0.0,False,,841.0,29.0,24.132812,sipm_temperature,0.7357151513642703,0.0,0,1.4308034185334562,1.415252298088796
B202605270920,G202605270920,50065,2026-05-27 09:20:00,2026-05-27 09:20:00+00:00,LSC11469,Treated,Rwanda,0.0,False,,590.0,36.5,29.7339935,temperature (board),0.8426059186742298,-0.0402738991379399,0,1.274915580264304,1.0934639142403388
B202605270930,G202605270930,50045,2026-05-27 09:30:00,2026-05-27 09:30:00+00:00,LSC11558,Treated,Rwanda,0.0,False,,511.0,29.0,24.054688,sipm_temperature,0.057148825676105,0.0,0,0.4048223501752298,0.2986232586042036
B202605270930,G202605270930,50065,2026-05-27 09:30:00,2026-05-27 09:30:00+00:00,LSC11558,Treated,Rwanda,0.0,False,,328.5,37.0,29.1222075,temperature (board),-0.2807242481854759,-0.0266682470821612,0,-0.4222949348125415,-0.3482879389609119
B202605270939,G202605270939,50045,2026-05-27 09:39:00,2026-05-27 09:39:00+00:00,Kamonyi. EP Nyakabungo. Near new kitchen. Spring water tap,Source (untreated),Rwanda,0.0,False,,549.0,29.0,24.882812,sipm_temperature,0.1520328066369618,0.0,0,0.529232133602342,0.442388067960501
B202605270939,G202605270939,50065,2026-05-27 09:39:00,2026-05-27 09:39:00+00:00,Kamonyi. EP Nyakabungo. Near new kitchen. Spring water tap,Source (untreated),Rwanda,0.0,False,,340.5,37.0,29.694977,temperature (board),-0.1275868186811539,-0.0266682470821612,0,-0.1767567915570731,-0.1382712453529318
B202605270954,G202605270954,50045,2026-05-27 09:54:00,2026-05-27 09:54:00+00:00,Kamonyi. EP Nyakabungo. Behind P3A classroom. Rain water tank,Source (untreated),Rwanda,0.0,False,,471.0,29.0,27.492188,sipm_temperature,-0.0222915496965887,0.0,0,0.2269134632430324,0.1469261140828254
B202605270954,G202605270954,50065,2026-05-27 09:54:00,2026-05-27 09:54:00+00:00,Kamonyi. EP Nyakabungo. Behind P3A classroom. Rain water tank,Source (untreated),Rwanda,0.0,False,,345.0,38.0,30.8971705,temperature (board),-0.075684681284101,0.0,0,0.0379950330019737,0.0585413598079589
B202605280814,G202605280814,50045,2026-05-28 08:14:00,2026-05-28 08:14:00+00:00,Fake.Kicukiro.Amazi Meza warehouse.Kagina. Spring water,Source (untreated),Rwanda,0.0,False,,559.0,29.0,27.28125,sipm_temperature,0.2296423621729815,0.0,1,0.5205201818786659,0.4227723532444687
B202605280814,G202605280814,50065,2026-05-28 08:14:00,2026-05-28 08:14:00+00:00,Fake.Kicukiro.Amazi Meza warehouse.Kagina. Spring water,Source (untreated),Rwanda,0.0,False,,379.0,36.0,31.485077,temperature (board),0.1455111568363447,-0.0628009012390304,1,0.0467872476357234,-0.0534550781059336
B202605280903,G202605280903,50065,2026-05-28 09:03:00,2026-05-28 09:03:00+00:00,Fake.Kicukiro. Amazi Meza warehouse.Kanengwa. Spring water,Source (untreated),Rwanda,0.0,False,,337.5,36.0,31.64621,temperature (board),-0.0710538057184591,-0.0628009012390304,1,-0.3199165284613778,-0.2831864348733081
B202605280911,G202605280911,50045,2026-05-28 09:11:00,2026-05-28 09:11:00+00:00,Fake.Kicukiro.Amazi Meza warehouse.Iriba.Spring water,Source (untreated),Rwanda,5.0,False,,551.0,29.0,25.703125,sipm_temperature,0.1749327061812371,0.0,1,0.4863444437653124,0.3768192696207432
B202605280911,G202605280911,50065,2026-05-28 09:11:00,2026-05-28 09:11:00+00:00,Fake.Kicukiro.Amazi Meza warehouse.Iriba.Spring water,Source (untreated),Rwanda,5.0,False,,336.5,36.0,31.892914,temperature (board),-0.0730637992418161,-0.0628009012390304,1,-0.326819937680853,-0.2867440796360529
B202605280952,G202605280952,50045,2026-05-28 09:52:00,2026-05-28 09:52:00+00:00,Fake.Kicukiro.Amazi Meza warehouse.Inindi House.Rainwater tank,Source (untreated),Rwanda,0.0,False,,534.0,31.0,25.882812,sipm_temperature,0.1331504691912757,0.0666913744986721,1,0.6788374115201545,0.6903067218309636
B202605280952,G202605280952,50065,2026-05-28 09:52:00,2026-05-28 09:52:00+00:00,Fake.Kicukiro.Amazi Meza warehouse.Inindi House.Rainwater tank,Source (untreated),Rwanda,0.0,False,,417.0,39.0,29.898895,temperature (board),0.2784623284995113,0.0172418064345059,1,0.681036375434274,0.5413028688100809
B202605290843,G202605290843,50045,2026-05-29 08:43:00,2026-05-29 08:43:00+00:00,Fake.Kicukiro.Amazi Meza warehouse.Nyirakanamba I.Water Stream,Source (untreated),Rwanda,100.0,True,,660.0,31.0,27.851562,sipm_temperature,0.4727301176592071,0.0666913744986721,2,0.8416899852668068,0.8410750906011311
B202605290843,G202605290843,50065,2026-05-29 08:43:00,2026-05-29 08:43:00+00:00,Fake.Kicukiro.Amazi Meza warehouse.Nyirakanamba I.Water Stream,Source (untreated),Rwanda,100.0,True,,383.0,39.0,33.931,temperature (board),0.2504059100663207,0.0085837436913914,2,0.5592202287487795,0.3617430553249222
B202605290854,G202605290854,50065,2026-05-29 08:54:00,2026-05-29 08:54:00+00:00,Fake.Kicukiro.Amazi Meza wahehouse.Nyirakanamba II. Water pipe,Source (untreated),Rwanda,100.0,True,,632.0,49.0,33.516846,temperature (board),1.0135675595324214,0.2368423956723717,2,2.004321373782642,1.9590474941266056
B202605290901,G202605290901,50045,2026-05-29 09:01:00,2026-05-29 09:01:00+00:00,Fake.Kicukiro.Amazi Meza wahehouse.Nyirakanamba II. Water pipe,Source (untreated),Rwanda,100.0,True,,769.0,38.0,26.054688,sipm_temperature,0.634953533669985,0.2702903297399117,2,1.5467842616694671,1.846806878747859
B202605290901,G202605290901,50065,2026-05-29 09:01:00,2026-05-29 09:01:00+00:00,Fake.Kicukiro.Amazi Meza wahehouse.Nyirakanamba II. Water pipe,Source (untreated),Rwanda,100.0,True,,661.5,47.0,32.878614999999996,temperature (board),1.0616429879991731,0.1951696992718037,2,2.004321373782642,1.8280290330178843
B202605290928,G202605290928,50045,2026-05-29 09:28:00,2026-05-29 09:28:00+00:00,Fake.Kicukiro.Amazi Meza warehouse.Kabeza.Stream Water,Source (untreated),Rwanda,100.0,True,,657.0,40.0,26.40625,sipm_temperature,0.4355146416371251,0.3215836241274623,2,1.4841109659525278,1.896796868666028
