observation_id,barcode,site_name,sample_date,water_type,cbt_ecoli_cfu,cbt_censored,sensor_mon2_raw,sensor_tof_raw,water_temp_c,mon2c_baseline_subtracted,mon2c_normalized,tof_normalized,predicted_log10_cfu_insample,predicted_log10_cfu_loocv,loocv_agreement,who_risk_true,who_risk_predicted
15,50065,Kamonyi. EP Rwishwima. In front of the kitchen. Rain water tank,2026-05-25 11:20:00,Source (untreated),5,FALSE,370.0,39.000,25.58,370.00,66.00,0.000,0.7142,0.7114,TRUE,Low,Low
16,50045,Kamonyi. EP Rwishwima. In front of the kitchen. Rain water tank,2026-05-25 11:20:00,Source (untreated),5,FALSE,532.0,32.000,26.19,532.00,48.00,3.000,0.9838,0.9907,TRUE,Low,Low
17,50065,Kamonyi. EP Rwishwima. Between nursery class1 and nursery class2. Spring water tap,2026-05-25 11:30:00,Source (untreated),0,FALSE,367.0,39.000,25.58,367.00,63.00,0.000,0.6781,0.7101,TRUE,Conformity,Low
18,50045,Kamonyi. EP Rwishwima. Between nursery class1 and nursery class2. Spring water tap,2026-05-25 11:30:00,Source (untreated),0,FALSE,541.0,32.000,25.57,541.00,57.00,3.000,1.0557,1.0924,FALSE,Conformity,Intermediate
19,50065,Kamonyi. EP Rwishwima. Between nursery class1 and nursery class2. Spring water tap,2026-05-25 11:33:00,Source (untreated),0,FALSE,354.0,38.000,26.12,354.00,50.00,-1.000,0.5441,0.5666,TRUE,Conformity,Low
20,50065,Kamonyi. EP Rwishwima. Near the toilets. Rain water tank,2026-05-25 11:42:00,Source (untreated),0,FALSE,354.0,38.000,26.12,354.00,50.00,-1.000,0.5441,0.5666,TRUE,Conformity,Low
21,50045,Kamonyi. EP Rwishwima. Near the toilets. Rain water tank,2026-05-25 11:42:00,Source (untreated),0,FALSE,484.0,30.000,25.47,484.00,0.00,1.000,0.4312,0.4448,TRUE,Conformity,Low
22,50065,Kamonyi. EP Rwishwima. Near the toilets. Rain water tank,2026-05-25 11:45:00,Source (untreated),0,FALSE,354.0,38.000,26.12,354.00,50.00,-1.000,0.5441,0.5666,TRUE,Conformity,Low
23,50045,Kamonyi. EP Rwishwima. Near the toilets. Rain water tank,2026-05-25 11:45:00,Source (untreated),0,FALSE,484.0,30.000,25.47,484.00,0.00,1.000,0.4312,0.4448,TRUE,Conformity,Low
24,50065,LSC15197,2026-05-26 09:43:00,Treated,3,FALSE,315.0,123.000,33.24,315.00,11.00,84.000,0.4068,0.3396,TRUE,Low,Low
25,50045,LSC15197,2026-05-26 09:43:00,Treated,3,FALSE,487.0,29.000,29.88,487.00,3.00,0.000,0.6490,0.6509,TRUE,Low,Low
26,50065,LSC11394,2026-05-26 09:51:00,Treated,0,FALSE,315.0,123.000,33.24,315.00,11.00,84.000,0.4068,0.5476,TRUE,Conformity,Low
27,50045,LSC11394,2026-05-26 09:51:00,Treated,0,FALSE,487.0,29.000,29.88,487.00,3.00,0.000,0.6490,0.6720,TRUE,Conformity,Low
28,50065,LSC15145,2026-05-26 10:00:00,Treated,0,FALSE,317.0,38.000,33.12,317.00,13.00,-1.000,0.3935,0.3976,TRUE,Conformity,Low
29,50045,LSC15145,2026-05-26 10:00:00,Treated,0,FALSE,461.0,29.000,25.71,461.00,-23.00,0.000,0.1907,0.1987,TRUE,Conformity,Conformity
30,50065,LSC11379,2026-05-26 10:17:00,Treated,0,FALSE,310.0,37.000,30.70,310.00,6.00,-2.000,0.2072,0.2108,TRUE,Conformity,Conformity
31,50045,LSC11379,2026-05-26 10:17:00,Treated,0,FALSE,490.0,29.000,25.36,490.00,6.00,0.000,0.4915,0.5062,TRUE,Conformity,Low
32,50065,LSC11391,2026-05-26 10:07:00,Treated,1,FALSE,310.0,37.000,30.70,310.00,6.00,-2.000,0.2072,0.2055,TRUE,Low,Conformity
33,50045,LSC11391,2026-05-26 10:07:00,Treated,1,FALSE,461.0,29.000,25.71,461.00,-23.00,0.000,0.1907,0.1859,TRUE,Low,Conformity
